Image Name,Keywords
Blue-billed Curassow,NZP-20080708-162JC,"male,endangered,Species: alberti,Genus: Crax,Family: Cracidae,Order: Galliformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Fowl-like bird"
Flagtail Characin,NZP-20100928-129MM,"Species: insignus,Genus: Semaprochilodus,Family: Prochilodontidae,Order: Characiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,horizontal,fish,Amazonia,Flagtail Characin,characin"
Common Raven,NZP-20160307-551CTW,"American Trail,Bird,Class: Aves,Common Raven,Family: Corvidae,Genus: Corvus,Kingdom: Animalia,Order: Passeriformes,Perching Bird,Phylum: Chordata,Raven,Species: corax"
Grevy's Zebra,NZP-20100819-166MM,"Species: grevyi,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Grevy's Zebra,Zebra,Ungulate,Odd-toed Ungulate,Moyo,Domo,male,tail"
Striped Skunk,NZP-20150426-4507CN,"Clementine,Skunk,Striped Skunk,Species: mephitis,Genus: Mephitis,Family: Mephitidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,female"
Green-crested Basilisk,NZP-215-44JC,"Species: plumifrons,Genus: Basiliscus,Family: Corytophanidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Aldabra Tortoise,NZP-2550-46JC,"Species: gigantea,Genus: Geochelone,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,7/1/1992,Grass,Reptile,Tortoise"
California Sea Lion,NZP-20090916-092MM-000001,"female,Species: californianus,Genus: Zalophus,Family: Otariidae,Order: Pinnipedia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Calli,California Sea Lion,Sea Lion,Pinniped"
La Plata Three-banded Armadillo,NZP-20060710-37JC-000001,"Species: matacus,Genus: Tolypeutes,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Armadillo,Three banded armadillo,Edentate,Xenarthara,La Plata Three-banded Armadillo,Southern Three-banded Armadillo,SMH,Small Mammal House,horizontal,grass"
Lesser Kudu,NZP-20150520-368CPM-000001,"Species: imberbis,Genus: Tragelaphus,Family: Bovidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Garrett,male,4 years old,Ungulate,Even-toed ungulate,Lesser Kudu,Kudu"
Northern Tree Shrew,NZP-20071128-040MM,"Species: belangeri,Genus: Tupaia,Family: Tupaiidae,Order: Scandentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Shrew,Northern Tree Shrew,Tree Shrew,SMH,Small Mammal House"
Eyelash Palm Pitviper,NZP-20050606-127JC,"tongue,Species: schlegelii,Genus: Bothriechis,Family: Viperidae crotalinae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake"
Golden Lion Tamarin,NZP-20180807-159SB,"Small Mammal House,Golden Lion Tamarin,Izzy,Mo,Species: rosalia rosalia,Genus: Leontopithecus,Family: Cebidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,GLT,SMH,Primate,Monkey"
Pale-headed Saki,NZP-20180807-109SB,"Small Mammal House,Species: pithecia,Genus: Pithecia,Family: Pitheciidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Pale-headed Saki,White-faced Saki,Primate,Monkey,SMH"
Meller's Chameleon,NZP-20170803-001JZ,"Species: melleri,Genus: Trioceros,Family: Chamaeleonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Meller's Chameleon,Chameleon,Reptile,Lizard,Reptile House"
Guam Kingfisher,NZP-20180606-224RP,"Guam Kingfisher,SCBI,Species: cinnamominus,Genus: Todiramphus,Family: Alcedinidae,Order: Coraciiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Micronesian Kingfisher,Bird,Kingfisher,baby,chick,Front Royal"
Von der Decken's Hornbill,NZP-20151030-4050HG,"Bird,Species: deckeni,Genus: Tockus,Family: Bucerotidae,Order: Coraciiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Hornbill,SMH,Small Mammal House"
Giant Panda,NZP-20180727-5549VK,"Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Giant Panda,Bei Bei,Panda,Asia Trail,water,Bear"
Giant Panda,NZP-20110503-015MM,"Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mei Xiang,female,Bear,Giant Panda,yard,outside,bamboo,horizontal"
Green Tree Python,NZP-20071002-039JC,"Species: viridis,Genus: Morelia,Family: Boidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake,adult,male"
Cheetah,NZP-20140817-6293RG,"Species: jubatus,Genus: Acinonyx,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Front Royal,SCBI,Cheetah,Cat,cub,young,Mother: Miti"
Emperor Tamarin,NZP-20191024_001RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,Animals,NZP,Open Access/CCO,Open Access,CCO,Mammals,Mammalia,Primates,Callitrichidae,Saguinus imperator,Emperor Tamarins,Monkeys"
Persian Onager,NZP-20111003-147MM,"SCBI,Species: hemionus onager,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Persian Onager,Onager,Ungulate,Odd-toed Ungulate,Front Royal,foal,baby,young"
American Beaver,NZP-20181031-151SB-000001,"Species: canadensis,Genus: Castor,Family: Castoridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,American Beaver,Beaver,Rodent,AMT,American Trail"
Freshwater Stingray,NZP-20130614-04AW,"Species: motoro,Genus: Potamotrygon,Family: Potamotrygonidae,Order: Rajiformes,Class: Elasmobranchii,Phylum: Chordata,Kingdom: Animalia,Amazonia,Fish,Stingray,Freshwater Stingray,horizontal"
Kori Bustard,NZP-20110426-37MM,"Species: kori,Genus: Ardeotis,Family: Otididae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,eye pecking,Bird,Rail,Crake"
Kori Bustard,NZP-20110624-108MM,"Species: kori,Genus: Ardeotis,Family: Otididae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,male,booming,bird,rail,bird house,vertical"
Large Madagascar Hedgehog Tenrec,NZP-20111005-126MM-000001,"Species: setosus,Genus: Setifer,Family: Tenrecidae,Order: Afrosoricida,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Pugsley,Large Madagascar Hedgehog Tenrec,Tenrec,Hedgehog,Small Mammal House,SMH,male,horizontal"
Przewalski's Wild Horse,NZP-20180712-6318RP,"SCBI,Mother: Olga,Species: przewalskii,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Przewalski's Wild Horse,Horse,Front Royal,foal,young"
Arapaima,NZP-20170609-113RP,"Species: gigas,Genus: Arapaima,Family: Osteoglossidae,Order: Osteoglossiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Arapaima,Fish,Amazonia"
Smithsonian Institution IDS 404 Page Not Found,NZP-20071211-230MM-000002,"Ziggy,Orion,Cirrus,Species: pacos,Genus: Lama,Family: Camelidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Alpaca,Ungulate,Even-toed ungulate,Kid's Farm,male"
Alpaca,NZP-20071211-117MM,"Ziggy,Orion,Cirrus,Species: pacos,Genus: Lama,Family: Camelidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Alpaca,Ungulate,Even-toed ungulate,Kid's Farm,male"
Central American Coati,NZP-20061113-032AB,"Species: narica,Genus: Nasua,Family: Procyonidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Central American Coati,White-nosed Coati,Coati,Procyonid"
Brown Pelican,NZP-20070831-071MM,"Species: occidentalis,Genus: Pelecanus,Family: Pelecanidae,Order: Pelecaniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Pelican"
Linne's Two-toed Sloth,NZP-20111006-005MM-000001,"Species: didactylus,Genus: Choloepus,Family: Megalonychidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Sloth,Edentate,two-toed sloth,Linne's Two-toed Sloth,Xenarthra,SMH,Small Mammal House"
Eastern Box Turtle,NZP-6040-63JC,"Species: carolina,Genus: Terrapene,Family: Emydidae,Order: Chelonia cryptodira,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Turtle"
Ruppell's Griffon Vulture,NZP-20160730-012GM,"Species: rueppellii,Genus: Gyps,Family: Accipitridae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Ruppell's Griffon Vulture,Vulture,Bird,Bird of Prey,Tuck,male"
Black-tailed Prairie Dog,NZP-20170714-1018NM,"Species: ludovicianus,Genus: Cynomys,Family: Sciuridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Black-tailed Prairie Dog,Prairie Dog,Rodent,baby,young"
Giant Anteater,NZP-20080922-028MM,"Dante, male,Species: tridactyla,Genus: Myrmecophaga,Family: Myrmecophagidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Anteater,Giant Anteater,Edentate"
Loggerhead Shrike,NZP-20170613-001CC,"SCBI,Front Royal,Species: ludovicianus,Genus: Lanius,Family: Laniidae,Order: Passeriformes,Class: Aves,Phylum: Chordata,Kingdom:Animalia,Loggerhead Shrike,Bird,Perching Bird"
Abyssinian Guinea Pig Inti,NZP-20191215_004CC,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Rodentia,Family: Caviidae,Genus and Species: Cavia porcellus,Rodents,Guinea Pigs,Mammals,Amazonia Exhibit"
Silver Arowana,NZP-20150121-8655AW-000001,"Amazonia,Fish,Species: bicirrhosum,Genus: Osteoglossum,Family: Osteoglossidae,Order: Osteoglossiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,horizontal,Silver Arowana"
Komodo Dragon,NZP-20110518-144MM,"Species: komodoensis,Genus: Varanus,Family: Varanidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Murphy,reptile,lizard,tongue,Reptile house,vertical"
Twig Catfish,NZP-20091106-144MM,"Species: [unknown],Genus: [unknown],Family: Loricariidae,Order: Siluriformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Fish,catfish,Twig Catfish,Amazonia,eggs,vertical"
Spider Tortoise,NZP-20110405-143MM,"Species: arachnoides,Genus: Pyxis,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,King:Animalia,Reptile,Tortoise"
Grevy's Zebra,NZP-20100819-301MM,"Species: grevyi,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Grevy's Zebra,Zebra,Ungulate,Odd-toed Ungulate,Moyo,Domo,male"
Caracal,NZP-20040129-416JC,"snow,Species: caracal,Genus: Caracal,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Caracal,Cat,winter,female,Martina"
Fishing Cat,NZP-20060918-077JC,"Electra,Female,Species: viverrinus,Genus: Prionailurus,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Cat,Fishing Cat,female,Asia Trail,vertical"
Burrowing Owl,NZP-20160219-069CTW,"Species: cunicularia,Genus: Athene,Family: Strigidae,Order: Strigiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Burrowing Owl,Owl,Bird,SMH,Small Mammal House"
NZP-20160729-003SB,NZP-20160729-003SB,"Species: xanthellus,Genus: Baryancistrus,Family: Loricariidae,Order: Siluriformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Fish,Catfish,Amazonia,Gold Nugget Plecostomus"
Copperhead,NZP-20110809-146MM,"Species: contortrix,Genus: Agkistrodon,Family: Viperidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,snake,horizontal,Reptile house"
Fly River Turtle,NZP-20160216-126CTW,"Species: insculpta,Genus: Carettochelys,Family: Carettockelyidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Fly River Turtle,Turtle,Reptile"
Giant Leaf-tailed Gecko,NZP-20100922-236MM,"Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,head,reptile,lizard"
Giant Panda,NZP-20180608-046SB,"Mei Xiang,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Asia Trail,Giant Panda"
Clouded Leopard,NZP-20100407-24MM,"cubs,SCBI,Species: nebulosa,Genus: Neofelis,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Cat,Clouded Leopard,Front Royal,horizontal,cub,baby,young,hand rearing,feeding,feed pan,kitten"
Freshwater Stingray,NZP-20060824-130JC,"Potamotrygon motoro,Female,Species: motoro,Genus: Potamotrygon,Family: Potamotrygonidae,Order: Rajiformes,Class: Elasmobranchii,Phylum: Chordata,Kingdom: Animalia,Amazonia,Fish,Stingray,horizontal,Freshwater Stingray"
Giant Panda,NZP-1501-1JC,"Ling-Ling,yard,outside,Giant Panda,Bear,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,panda furniture"
Bettong,NZP-20130427-003CN,"Bettong,Small Mammal House,SMH,Species: penicillata,Genus: Bettongia,Family: Potoroidae,Order: Diprotodontia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Marsupial,Brush-tailed Bettong"
African Lion,NZP-20141024-032CPM,"Species: leo,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,cubs,Luke,Cat,Lion,African Lion,cub,baby,young,male,adult"
African Lion,NZP-20110107-277MM,"Species: leo,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,cubs,Cat,Lion,African Lion,cub,baby,young,horizontal,John,male,621,ID Right Shoulder"
Eld's Deer,NZP-20131103-751DR,"Species: eldii,Genus: Rucervus,Family: Cervidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Julius,SCBI,Front Royal,Eld's Deer,Burmese Brow-antlered Deer,Deer,Ungulate,Even-toed ungulate,male"
Black Howler Monkey,NZP-20110616-016MM-000001,"Species: caraya,Genus: Alouatta,Family: Atelidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Black Howler Monkey,Howler Monkey,Monkey,Primate,New World Monkey,SMH,Small Mammal House,male,vertical"
Cheetah,NZP-20140817-6940RG,"Species: jubatus,Genus: Acinonyx,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Front Royal,SCBI,young,Cheetah,Cat,Segosi,Mother: Ally"
Rhinoceros Snake,NZP-20101116-027MM,"Species: boulengeri,Genus: Rhyncophis,Family: Colubridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake,tongue"
Radiated Tortoise,NZP-20100615-200MM,"Species: radiata,Genus: Geochelone,Family: Testudinidae,Order: Chelonia,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Tortoise"
Ring-tailed Lemur,NZP-20180920-5694SB,"Species: catta,Genus: Lemur,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Ring-tailed Lemur,Lemur,Primate"
Red-fronted lemur,NZP-20050731-393AB-000001,"Species: rufus,Genus: Eulemur,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red Ruffed Lemur,Lemur,Primate,lemur island"
Orangutan,NZP-20060410-064JC-000001,"O Line,Kiko,Pongo pygmaeus: Bornea and Pongo abelii: Sumatran,Species: pygmaeus,Genus: Pongo,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Orangutan,Ape,male,outside,horizontal"
Ruppell's Griffon Vulture,NZP-20141001-084GM,"Species: rueppellii,Genus: Gyps,Family: Accipitridae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Ruppell's Griffon Vulture,Vulture,Bird of Prey,Bird"
Asian Small-clawed Otter,NZP-20070723-086MM-000001,"Asia Trail,Species: cinerea,Genus: Aonyx,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Otter,Mustelid,Asian Small-clawed otter,horizontal"
Common Opossum,NZP-20180107-8633CN,"Species: marsupialis,Genus: Didelphis,Family: Didelphidae,Order: Didelphimorphia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Common Opossum,Opossum,Marsupial,Minnie,SMH,Small Mammal House"
Brazillian Agouti,NZP-20150228-0425CN,"Agouti,Macadamia,Small Mammal House,SMH,Species: leporina,Genus: Dasyprocta,Family: Dasyproctidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Red-rumped Agouti,Brazillian Agouti,female"
Asian Water Dragon,NZP-20181031-058SB,"Species: cocincinus,Genus: Physignathus,Family: Agamidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Asian Water Dragon,Lizard,Reptile"
Green and Black Poison Frog,NZP-20130618-4870AW,"Species: azureus,Genus: Dendrobates,Family: Dendrobatidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amazonia,Amphibian,Frog"
Indian Peafowl,NZP-20130417-044CPM,"Bird,Species: cristatus,Genus: Pavo,Family: Phasianidae,Order: Galliformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Peacock,male"
Roseate Spoonbill,NZP-20160226-359CTW,"Species: ajaja,Genus: Ajaia,Family: Threskiornithidae,Order: Ciconiiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Amazonia,Roseate Spoonbill,Spoonbill,Bird"
Scimitar-horned Oryx,NZP-20160802-0031DR,"Species: dammah,Genus: Oryx,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Scimitar-horned Oryx,Oryx,Ungulate,Even-toed Ungulate,SCBI,Front Royal,female,Ruby,Even-toed ungulate"
Sand Cat,NZP-20140914-9105CN-000001,"Thor,Species: margarita,Genus: Felis,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Cat,Sand Cat,male,horizontal"
Cheetah,NZP-20140817-6602RG-000003,"Species: jubatus,Genus: Acinonyx,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Front Royal,SCBI,Cheetah,Cat,cub,young,Mother: Amani,Bakari"
Smithsonian Institution IDS 503 Service Temporarily Unavailable,NZP-20130417-082CPM,"Bird,Species: cristatus,Genus: Pavo,Family: Phasianidae,Order: Galliformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Peacock,male"
Brown Pelican,NZP-20070831-073MM,"Species: occidentalis,Genus: Pelecanus,Family: Pelecanidae,Order: Pelecaniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Pelican"
Sumatran Tiger,NZP-20091222-416MM,"Snow,Species: tigris sumatrae,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Cat,Tiger,Sumatran Tiger,male,Guntur,winter,horizontal"
Allen's Swamp Monkey,NZP-20160323-007AB,"Allen's Swamp Monkey,baby,First day outside,girl,Layla,Species: nigroviridis,Genus: Allenopithecus,Family: Cercopithecidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Primate,mother,young,Think Tank"
Von der Decken's Hornbill,NZP-20160214-517CN,"Hornbill,Von der Decken's Hornbill,SMH,Small Mammal House,Species: deckeni,Genus: Tockus,Family: Bucerotidae,Order: Coraciiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird"
Bald Eagle,NZP-20131121-8630SS,"Species: leucocephalus,Genus: Haliaeetus,Family: Accipitridae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,American Trail,Bird,Bird of Prey,Bald Eagle"
Giant Panda,NZP-20070705-443MM,"Tai Shan,Bamboo,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,male,Giant Panda,Bear,yard,outside,horizontal,bamboo,eating"
Banded Mongoose,NZP-20060208-060JC,"Species: mungo,Genus: Mungos,Family: Herpestidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Banded Mongoose,Mongoose,Viverrid,SMH,Small Mammal House"
Giant Leaf-tailed Gecko,NZP-20100922-293MM,"Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Prevost's Squirrel,NZP-20091218-101MM,"Holiday,Species: prevostii,Genus: Callosciurus,Family: Sciuridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Prevost's Squirrel,SMH,Small Mammal House,Squirrel,Rodent,enrichment"
Vietnamese Mossy Frog,NZP-20081119-075MM,"eye,Species: corticale,Genus: Theloderma,Family: Rhacophoridae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Black-crowned Night Heron,NZP-6000-36JC-000001,"Species: nycticorax,Genus: Nycticorax,Family: Ardeidae,Order: Ciconiiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,wild,non collection animal,heron,Bird"
Panamanian Golden Frog,NZP-20090114-099MM,"Species: zeteki,Genus: Atelopus,Family: Bufonidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Vietnamese Mossy Frog,NZP-20060711-198JC,"Species: corticale,Genus: Theloderma,Family: Rhacophoridae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Maned Wolf,NZP-20160804-025GM-000001,"Species: brachyurus,Genus: Chrysocyon,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Maned Wolf,Wolf,Canine,Mateo,male"
Screaming Hairy Armadillo,NZP-20141121-011CPM,"Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Armadillo,Edentate,Xenarthara,Screaming hairy armadillo,horizontal"
Spiny-headed Tree Frog,NZP-20110405-108MM,"Species: spinosa,Genus: Anotheca,Family: Hylidae,Order: Anura,Class: Amphibia,Phylum: Chordata,King:Animalia,Amphibian"
"Athena, Southern Two-toed Sloth",NZP-20200110_010RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Pilosa,Family: Megalonychidae,Genus and Species: Choloepus didactylus,Sloths,Mammals,Small Mammal House"
Scimitar-horned Oryx,NZP-20181214-001CPM,"Even-toed ungulate,Species: dammah,Genus: Oryx,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Scimitar-horned Oryx,Oryx"
Panamanian Golden Frog,NZP-20090114-233MM-000002,"Species: zeteki,Genus: Atelopus,Family: Bufonidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Giant Panda,NZP-20180608-150SB,"Mei Xiang,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Asia Trail,Giant Panda"
Striped Skunk,NZP-20150517-8674CN,"Clementine,Skunk,Striped Skunk,Species: mephitis,Genus: Mephitis,Family: Mephitidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,female"
Sumatran Tiger,NZP-20110523-039MM,"Species: tigris sumatrae,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Damai,female,horizontal,Cat,Tiger,Sumatran Tiger"
Miniature Mediterranean Donkey,NZP-20040604-151JC,"Species: asinus,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Miniature Mediterranean Donkey,Donkey,Ungulate,Odd-toed Ungulate,Kids Farm"
Spider Tortoise,NZP-20130313-026CPM,"Species: arachnoides,Genus: Pyxis,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,King:Animalia,Reptile,Tortoise"
Miniature Mediterranean Donkey,NZP-20050528-363AB,"Species: asinus,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Miniature Mediterranean Donkey,Donkey,Ungulate,Odd-toed Ungulate,Kids Farm"
Kori Bustard,NZP-20110426-36MM,"Species: kori,Genus: Ardeotis,Family: Otididae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,eye pecking,Bird,Rail,Crake"
Gaboon Viper,NZP-2550-10JC,"Species: gabonica,Genus: Bitis,Family: Viperidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake,Date unknown"
Perdido Key Beach Mouse,NZP-20180901-3871CN,"Perdido Key Beach Mouse,Species: polionotus trissyllepsis,Genus: Peromyscus,Family: Cricetidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mouse,Rodent,SMH,Small Mammal House"
Northern Tree Shrew,NZP-20160223-033CTW,"Species: belangeri,Genus: Tupaia,Family: Tupaiidae,Order: Scandentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Northern Tree Shrew,Shrew"
Andean Bear,NZP-20170714-1008NM-000001,"Species: ornatus,Genus: Tremarctos,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Andean Bear,Spectacled Bear,Bear,Bouba,male"
Red Panda,NZP-20070122-443MM,"Red Panda,Species: fulgens,Genus: Ailurus,Family: Ailuridae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Asia Trail,Snow,winter"
Oriental Fire-bellied Toad,NZP-20160216-165CTW,"Species: orientalis,Genus: Bombina,Family: Discoglossidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Oriental Fire-bellied Toad,Toad,Amphibian"
