Image Name,Keywords
Chinese Three-striped Box Turtle,NZP-20180228-9698JPJ-000001,"Reptile,Turtle,Species: bourreti,Genus: Cuora,Family: Bataguridae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Chinese Three-striped Box Turtle,Golden Coin Turtle"
Allen's Swamp Monkey,NZP-20150626-090CPM,"Species: nigroviridis,Genus: Allenopithecus,Family: Cercopithecidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Primate,Monkey,Think Tank,Allen's Swamp Monkey"
American Beaver,NZP-20181031-115SB,"Species: canadensis,Genus: Castor,Family: Castoridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,American Beaver,Beaver,Rodent,AMT,American Trail"
Sinaloan Milksnake,NZP-20050609-501JC,"Species: triangulum,Genus: Lampropeltis,Family: Colubridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake"
Maned Wolf,NZP-20170629-1336RP,"Maned Wolf,SCBI,Front Royal,Species: brachyurus,Genus: Chrysocyon,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Canine,Hope"
Silver Arowana,NZP-20150121-8618AW-000001,"Amazonia,Fish,Species: bicirrhosum,Genus: Osteoglossum,Family: Osteoglossidae,Order: Osteoglossiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,horizontal,Silver Arowana"
White-eared Titi Monkey,NZP-20181114-8863SB,"Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Primates,Family: Pitheciidae,Genus: Callicebus,Species: donacophilus,White-eared Titi Monkey,Bolivian Gray Titi,Titi Monkey,Monkey,Primate,Amazonia"
Whooping Crane,NZP-20110628-062MM,"Species: americana,Genus: Grus,Family: Gruidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom:Animalia,male,rocky,Bird,Crane"
Cuban Crocodile,NZP-20160205-020CTW-000002,"Cuban Crocodile,Species: rhombifer,Genus: Crocodylus,Family: Crocodylidae,Order: Crocodylia,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Crocodile,Reptile"
Common Opossum,NZP-20180105-8125RP,"Species: marsupialis,Genus: Didelphis,Family: Didelphidae,Order: Didelphimorphia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Common Opossum,Opossum,Marsupial,Minnie,SMH,Small Mammal House"
False Water Cobra,NZP-20110405-178MM,"Species: gigas,Genus: Hydrodynastes,Family: Colubridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,King:Animalia,Reptile,Snake"
Golden Poison Frog,NZP-20160226-311CTW,"Species: terribilis,Genus: Phyllobates,Family: Dendrobatidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amazonia,Golden Poison Frog,Poison Frog,Frog,Amphibian"
Southern Tamandua,NZP-20181029-9225RP,"Species: tetradactyla,Genus: Tamandua,Family: Myrmecophagidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Southern Tamandua,Collared Anteater,SMH,Small Mammal House"
Blue-billed Curassow,NZP-20080708-179JC,"male,endangered,Species: alberti,Genus: Crax,Family: Cracidae,Order: Galliformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,head,Bird,Fowl-like bird"
Grevy's Zebra,NZP-20100819-091MM,"Species: grevyi,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Grevy's Zebra,Zebra,Ungulate,Odd-toed Ungulate,Moyo,Male"
Asian Elephant,NZP-20180628-596SB,"Elephant Trails,Asian elephant,Maharani,Species: maximus,Genus: Elephas,Family: Elephantidae,Order: Proboscidea,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Water"
Aldabra Tortoise,NZP-20060517-088JC,"Species: gigantea,Genus: Geochelone,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Tortoise"
Ring-tailed Lemur,NZP-20181114-3891SB,"Species: catta,Genus: Lemur,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Ring-tailed Lemur,Lemur,Primate"
Persian Onager,NZP-20111003-175MM,"SCBI,Species: hemionus onager,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Persian Onager,Onager,Ungulate,Odd-toed Ungulate,Front Royal,foal,baby,young"
NZP-20180326-007SB,NZP-20180326-007SB,"Amazonia,Species: didactylus,Genus: Choloepus,Family: Megalonychidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Linne's Two-toed Sloth,Linnaeusâ s Two-toed Sloth,Sloth"
Gray Seal,NZP-20170409-0725CG,"Species: grypus,Genus: Halichoerus,Family: Phocidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Gray Seal,Seal,Birdie,Pup,baby,Mother: Kara,Father: Gunther,American Trail,Pinnipede,AMT"
Gray Wolf,NZP-20121218-8149BS,"Species: lupus,Genus: Canis,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Gray Wolf,Wolf,Canine,AMT,American Trail,Coby"
Giant Anteater,NZP-20110407-183MM,"Species: tridactyla,Genus: Myrmecophaga,Family: Myrmecophagidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Giant Anteater,Anteater,Edentate,Pablo,male,pup,baby,Maripi,mother,female,naming ceremony,enrichment"
North American Wood Duck,NZP-20181031-148SB,"Species: sponsa,Genus: Aix,Family: Anatidae,Order: Anseriformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,North American Wood Duck,Wood Duck,duck,bird,AMT,American Trail"
Loggerhead Shrike,NZP-20160515-001CC,"Species: ludovicianus,Genus: Lanius,Family: Laniidae,Order: Passeriformes,Class: Aves,Phylum: Chordata,Kingdom:Animalia,Loggerhead Shrike,Chick,baby,young,SCBI,Front Royal,Bird"
Rock Hyrax,NZP-20180622-5404RP,"SMH,Small Mammal House,Species: capensis,Genus: Procavia,Family: Procaviidae,Order: Hyracoidea,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rock Hyrax"
Smithsonian Institution IDS 404 Page Not Found,NZP-20160226-422CTW,"Species: viridis,Genus: Pteroglossus,Family: Ramphastidae,Order: Piciformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Amazonia,Green Aracari,Toucan,Bird"
Giant Panda,NZP-20091222-152MM,"Snow,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Tian Tian,Giant Panda,Bear,male,yard,outside,winter,horizontal"
Giant Panda,NZP-20091222-189MM-000002,"Snow,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Tian Tian,Giant Panda,Bear,male,yard,outside,winter,horizontal"
African Lion,NZP-20101026-345MM,"Swim test,Species: leo,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Shera's Cubs,Cat,Lion,African Lion,cub,baby,young,cubs,horizontal,water"
Sloth Bear,NZP-20100511-35MM,"frankie,male,Species: ursinus,Genus: Melursus,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Francois,Sloth Bear,Bear,Frankie,Asia Trail"
Screaming Hairy Armadillo,NZP-20160210-267CTW,"Small Mammal House,SMH,Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Screaming Hairy Armadillo,armadillo"
Lowland Gorilla,NZP-20181203-009MTB,"Primate,Great Ape,Ape,Species: gorilla,Genus: Gorilla,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Lowland Gorilla,Western Gorilla,Moke,baby,young"
Rhinoceros Snake,NZP-20130206-060CPM,"reptile,Species: boulengeri,Genus: Rhyncophis,Family: Colubridae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,snake"
Lowland Gorilla,NZP-20090210-668MM,"Haloko,Species: gorilla,Genus: Gorilla,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Gorilla,Western Gorilla,Lowland Gorilla,female,vertical,Ape,Primate"
Lowland Gorilla,NZP-20090306-089MM,"Kojo,Kwame,Species: gorilla,Genus: Gorilla,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Gorilla,Lowland Gorilla,Western Gorilla,Ape,Primate,male"
Domestic Chicken,NZP-20170622-052CPM,"Species: unknown,Genus: unknown,Family: Anatidae,Order: Anseriformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Domestic Chicken,Chicken,Fowl,Bird,Kids Farm"
Linne's Two-toed Sloth,NZP-20140807-4146CN,"Two-toed Sloth,Vlad,Species: didactylus,Genus: Choloepus,Family: Megalonychidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Sloth,Edentate,two-toed sloth,Linne's Two-toed Sloth,Xenarthra"
Southern Tamandua,NZP-20150517-8716CN-000001,"Anteater,Manny,Tamandua,Species: tetradactyla,Genus: Tamandua,Family: Myrmecophagidae,Order: Pilosa,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Edentate,Xenarthara,Southern Tamandua,SMH,Small Mammal House,female,male,Collard Anteater,horizontal"
